Datetime,Close,High,Low,Open,Volume,NY_Time,Trading_Session,Date,Week,Daily_Open,Weekly_Open
,GBPUSD=X,GBPUSD=X,GBPUSD=X,GBPUSD=X,GBPUSD=X,,New York PM,,,,
2025-04-29 23:00:00+00:00,1.3407342433929443,1.3410038948059082,1.3407342433929443,1.3409498929977417,0,2025-04-29 19:00:00-04:00,Asia,2025-04-29,18,1.3409498929977417,1.3409498929977417
2025-04-29 23:05:00+00:00,1.3406083583831787,1.340752124786377,1.3406083583831787,1.340752124786377,0,2025-04-29 19:05:00-04:00,Asia,2025-04-29,18,1.3409498929977417,1.3409498929977417
2025-04-29 23:10:00+00:00,1.340752124786377,1.3407881259918213,1.3406263589859009,1.3406263589859009,0,2025-04-29 19:10:00-04:00,Asia,2025-04-29,18,1.3409498929977417,1.3409498929977417
2025-04-29 23:15:00+00:00,1.3408780097961426,1.3408780097961426,1.3407881259918213,1.3407881259918213,0,2025-04-29 19:15:00-04:00,Asia,2025-04-29,18,1.3409498929977417,1.3409498929977417
2025-04-29 23:20:00+00:00,1.3411117792129517,1.3411117792129517,1.3409138917922974,1.3409138917922974,0,2025-04-29 19:20:00-04:00,Asia,2025-04-29,18,1.3409498929977417,1.3409498929977417
2025-04-29 23:25:00+00:00,1.3408960103988647,1.3410038948059082,1.3408241271972656,1.3410038948059082,0,2025-04-29 19:25:00-04:00,Asia,2025-04-29,18,1.3409498929977417,1.3409498929977417
2025-04-29 23:30:00+00:00,1.3410937786102295,1.3410937786102295,1.3408960103988647,1.3409678936004639,0,2025-04-29 19:30:00-04:00,Asia,2025-04-29,18,1.3409498929977417,1.3409498929977417
2025-04-29 23:35:00+00:00,1.3410398960113525,1.3410757780075073,1.3410218954086304,1.3410578966140747,0,2025-04-29 19:35:00-04:00,Asia,2025-04-29,18,1.3409498929977417,1.3409498929977417
2025-04-29 23:40:00+00:00,1.3410937786102295,1.3411297798156738,1.3410398960113525,1.3410398960113525,0,2025-04-29 19:40:00-04:00,Asia,2025-04-29,18,1.3409498929977417,1.3409498929977417
2025-04-29 23:45:00+00:00,1.3410398960113525,1.3413456678390503,1.3410398960113525,1.3412017822265625,0,2025-04-29 19:45:00-04:00,Asia,2025-04-29,18,1.3409498929977417,1.3409498929977417
2025-04-29 23:50:00+00:00,1.3408780097961426,1.340985894203186,1.3408420085906982,1.340985894203186,0,2025-04-29 19:50:00-04:00,Asia,2025-04-29,18,1.3409498929977417,1.3409498929977417
2025-04-29 23:55:00+00:00,1.3410218954086304,1.3410218954086304,1.3409318923950195,1.3409498929977417,0,2025-04-29 19:55:00-04:00,Asia,2025-04-29,18,1.3409498929977417,1.3409498929977417
2025-04-30 00:00:00+00:00,1.3411837816238403,1.3411837816238403,1.3409678936004639,1.3409678936004639,0,2025-04-29 20:00:00-04:00,Asia,2025-04-29,18,1.3409498929977417,1.3409498929977417
2025-04-30 00:05:00+00:00,1.3410937786102295,1.3413995504379272,1.3410937786102295,1.3412736654281616,0,2025-04-29 20:05:00-04:00,Asia,2025-04-29,18,1.3409498929977417,1.3409498929977417
2025-04-30 00:10:00+00:00,1.3408780097961426,1.340985894203186,1.3408780097961426,1.340985894203186,0,2025-04-29 20:10:00-04:00,Asia,2025-04-29,18,1.3409498929977417,1.3409498929977417
